Nâng cấp bắt đầu: 16:14:45_08-06-2016
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/core/flood_blocker.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/core/is_admin.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/core/is_user.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/core/referer.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/core/statimg.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/core/theme_functions.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/core/user_functions.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/cronjobs/dump_autobackup.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/functions.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/ini.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/en/admin_authors.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/en/admin_database.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/en/admin_extensions.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/en/admin_global.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/en/admin_language.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/en/admin_modules.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/en/admin_seotools.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/en/admin_settings.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/en/admin_siteinfo.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/en/admin_themes.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/en/admin_upload.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/en/admin_webtools.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/en/global.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/en/install.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/fr/admin_authors.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/fr/admin_database.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/fr/admin_extensions.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/fr/admin_global.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/fr/admin_language.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/fr/admin_modules.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/fr/admin_seotools.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/fr/admin_settings.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/fr/admin_siteinfo.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/fr/admin_themes.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/fr/admin_upload.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/fr/admin_webtools.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/fr/global.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/fr/install.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/vi/admin_authors.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/vi/admin_modules.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/vi/admin_seotools.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/vi/admin_settings.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/vi/admin_webtools.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/vi/global.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/language/vi/install.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/mainfile.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/plugin/rewrite_obsolute.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file includes/utf8/utf8_functions.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file index.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file install/action_mysql.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file install/config.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file install/data.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file install/data_by_lang.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file install/data_en.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file install/data_fr.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file install/data_vi.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file install/index.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file install/ini.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file install/mainfile.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file install/template.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file install/update.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/banners/language/admin_en.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/banners/language/admin_fr.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/banners/language/en.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/banners/language/fr.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/banners/version.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/comment/comment.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/comment/funcs/delete.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/comment/funcs/like.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/comment/language/admin_en.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/comment/language/admin_fr.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/comment/language/en.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/comment/language/fr.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/comment/version.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/contact/blocks/global.contact_form.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/contact/blocks/global.department.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/contact/funcs/main.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/contact/language/admin_en.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file modules/contact/language/admin_fr.php | SUCCESS
